"LAST_RUN","MATCH_RESULT","id","category","severity","jira","note"
"2026-08-05","passed","LOG-1079","Password step","Medium","","no errors"
"2026-08-06","passed","LOG-1080","Email step","Medium","","clean run"
"2026-08-06","passed","LOG-1081","Email step","Medium","","no errors"
"2026-08-06","passed","LOG-1082","Email step","High","","no errors"
"2026-08-06","failed","LOG-1083","SSO redirect","Medium","QA-1586","layout shift"
"2026-08-06","failed","LOG-1084","MFA step","High","QA-1427","assertion failed"
"2026-08-06","passed","LOG-1085","SSO redirect","Critical","","matched baseline"
"2026-08-06","passed","LOG-1086","SSO redirect","Low","","no errors"
"2026-08-06","passed","LOG-1087","Password step","Medium","","no errors"
"2026-08-06","passed","LOG-1088","MFA step","Medium","","clean run"
"2026-08-06","passed","LOG-1089","Password step","Critical","","clean run"
"2026-08-07","passed","LOG-1090","MFA step","Low","","no errors"
"2026-08-07","passed","LOG-1091","Email step","Critical","","no errors"
"2026-08-07","passed","LOG-1092","Email step","Low","","clean run"
"2026-08-07","passed","LOG-1093","MFA step","Medium","","clean run"
"2026-08-07","ignored","LOG-1094","Password step","Low","","muted for release"
"2026-08-07","passed","LOG-1095","Email step","Low","","clean run"
"2026-08-07","passed","LOG-1096","Password step","Critical","","matched baseline"
"2026-08-08","passed","LOG-1097","Email step","Medium","","matched baseline"
"2026-08-08","passed","LOG-1098","Email step","Medium","","matched baseline"
"2026-08-08","passed","LOG-1099","Email step","Medium","","clean run"
"2026-08-08","passed","LOG-1100","Password step","Low","","clean run"
"2026-08-09","passed","LOG-1101","Password step","High","","clean run"
"2026-08-09","passed","LOG-1102","MFA step","Low","","no errors"
"2026-08-09","passed","LOG-1103","Password step","Low","","no errors"
"2026-08-09","passed","LOG-1104","Password step","Critical","","matched baseline"
"2026-08-10","passed","LOG-1105","Email step","Critical","","clean run"
"2026-08-10","passed","LOG-1106","Password step","Critical","","under 300ms"
"2026-08-10","ignored","LOG-1107","Email step","Critical","","muted for release"
"2026-08-10","passed","LOG-1108","Password step","Medium","","matched baseline"
"2026-08-10","ignored","LOG-1109","SSO redirect","Medium","","known flake"
"2026-08-10","passed","LOG-1110","Email step","Medium","","matched baseline"
"2026-08-10","passed","LOG-1111","MFA step","Medium","","clean run"
"2026-08-10","passed","LOG-1112","Email step","Low","","clean run"
"2026-08-10","passed","LOG-1113","MFA step","Medium","","under 300ms"
"2026-08-10","failed","LOG-1114","SSO redirect","High","QA-1636","layout shift"
"2026-08-11","passed","LOG-1115","Email step","High","","clean run"
"2026-08-11","passed","LOG-1116","MFA step","Low","","matched baseline"
"2026-08-11","passed","LOG-1117","MFA step","Critical","","no errors"
"2026-08-11","passed","LOG-1118","MFA step","Critical","","no errors"
"2026-08-11","passed","LOG-1119","Password step","Low","","under 300ms"
"2026-08-11","passed","LOG-1120","Email step","High","","under 300ms"
"2026-08-11","passed","LOG-1121","Email step","Low","","clean run"
"2026-08-11","passed","LOG-1122","SSO redirect","Low","","clean run"
"2026-08-11","passed","LOG-1123","MFA step","High","","matched baseline"
"2026-08-11","passed","LOG-1124","Password step","Low","","matched baseline"
"2026-08-12","passed","LOG-1125","MFA step","High","","under 300ms"
"2026-08-12","passed","LOG-1126","Password step","Critical","","under 300ms"
"2026-08-12","passed","LOG-1127","Password step","Critical","","clean run"
"2026-08-12","passed","LOG-1128","SSO redirect","High","","no errors"
"2026-08-12","passed","LOG-1129","Password step","High","","no errors"
"2026-08-12","passed","LOG-1130","MFA step","Low","","under 300ms"
"2026-08-12","passed","LOG-1131","MFA step","Low","","no errors"
"2026-08-12","passed","LOG-1132","SSO redirect","High","","matched baseline"
"2026-08-12","passed","LOG-1133","Password step","Low","","matched baseline"
"2026-08-12","passed","LOG-1134","Password step","Low","","under 300ms"
"2026-08-13","passed","LOG-1135","MFA step","Critical","","no errors"
"2026-08-13","passed","LOG-1136","Email step","Medium","","no errors"
"2026-08-13","passed","LOG-1137","SSO redirect","Low","","under 300ms"
"2026-08-13","passed","LOG-1138","MFA step","Medium","","matched baseline"
"2026-08-13","passed","LOG-1139","SSO redirect","High","","no errors"
"2026-08-13","passed","LOG-1140","Email step","Medium","","no errors"
"2026-08-13","failed","LOG-1141","Email step","Medium","","timeout"
"2026-08-13","passed","LOG-1142","MFA step","Low","","clean run"
"2026-08-13","passed","LOG-1143","Password step","High","","no errors"
"2026-08-13","passed","LOG-1144","MFA step","Low","","clean run"
"2026-08-14","passed","LOG-1145","Password step","High","","no errors"
"2026-08-14","passed","LOG-1146","MFA step","Low","","clean run"
"2026-08-14","passed","LOG-1147","Password step","Critical","","no errors"
"2026-08-14","passed","LOG-1148","Password step","Critical","","under 300ms"
"2026-08-14","passed","LOG-1149","Password step","Critical","","no errors"
"2026-08-14","passed","LOG-1150","SSO redirect","Medium","","matched baseline"
"2026-08-14","passed","LOG-1151","MFA step","High","","under 300ms"
"2026-08-14","passed","LOG-1152","Email step","Medium","","matched baseline"
"2026-08-15","passed","LOG-1153","MFA step","High","","clean run"
"2026-08-15","passed","LOG-1154","SSO redirect","High","","matched baseline"
"2026-08-15","passed","LOG-1155","MFA step","Medium","","matched baseline"
"2026-08-15","passed","LOG-1156","Email step","High","","under 300ms"
"2026-08-16","passed","LOG-1157","Password step","Critical","","matched baseline"
"2026-08-16","passed","LOG-1158","Password step","High","","clean run"
"2026-08-16","passed","LOG-1159","Password step","Low","","no errors"
"2026-08-16","passed","LOG-1160","MFA step","Low","","matched baseline"
"2026-08-16","passed","LOG-1161","Email step","Low","","clean run"
"2026-08-17","passed","LOG-1162","MFA step","Low","","clean run"
"2026-08-17","passed","LOG-1163","Password step","High","","under 300ms"
"2026-08-17","failed","LOG-1164","MFA step","Critical","","assertion failed"
"2026-08-17","passed","LOG-1165","Password step","High","","under 300ms"
"2026-08-17","passed","LOG-1166","SSO redirect","Low","","under 300ms"
"2026-08-17","passed","LOG-1167","SSO redirect","High","","clean run"
"2026-08-17","passed","LOG-1168","MFA step","Low","","no errors"
"2026-08-17","passed","LOG-1169","Password step","Low","","under 300ms"
"2026-08-17","passed","LOG-1170","MFA step","Low","","no errors"
"2026-08-17","passed","LOG-1171","Email step","Medium","","under 300ms"
"2026-08-18","passed","LOG-1172","Password step","High","","matched baseline"
"2026-08-18","passed","LOG-1173","SSO redirect","Critical","","clean run"
"2026-08-18","passed","LOG-1174","Password step","Low","","no errors"
"2026-08-18","passed","LOG-1175","Password step","High","","no errors"
"2026-08-18","passed","LOG-1176","Email step","Medium","","matched baseline"
"2026-08-18","passed","LOG-1177","SSO redirect","High","","under 300ms"
"2026-08-18","passed","LOG-1178","Password step","Low","","matched baseline"
"2026-08-18","failed","LOG-1179","SSO redirect","High","QA-1939","assertion failed"
"2026-08-19","passed","LOG-1180","Password step","High","","under 300ms"
"2026-08-19","passed","LOG-1181","Password step","Low","","no errors"
"2026-08-19","passed","LOG-1182","SSO redirect","Medium","","clean run"
"2026-08-19","passed","LOG-1183","Email step","High","","no errors"
"2026-08-19","passed","LOG-1184","SSO redirect","High","","no errors"
"2026-08-19","passed","LOG-1185","Email step","High","","no errors"
"2026-08-19","passed","LOG-1186","MFA step","Medium","","under 300ms"
"2026-08-19","passed","LOG-1187","MFA step","Critical","","under 300ms"
"2026-08-20","passed","LOG-1188","SSO redirect","Medium","","matched baseline"
"2026-08-20","passed","LOG-1189","Email step","Medium","","no errors"
"2026-08-20","passed","LOG-1190","Password step","Low","","matched baseline"
"2026-08-20","passed","LOG-1191","Email step","High","","under 300ms"
"2026-08-20","passed","LOG-1192","Email step","Critical","","under 300ms"
"2026-08-20","passed","LOG-1193","Email step","High","","no errors"
"2026-08-20","passed","LOG-1194","Password step","Critical","","under 300ms"
"2026-08-20","failed","LOG-1195","MFA step","High","QA-1405","layout shift"
"2026-08-20","passed","LOG-1196","MFA step","Low","","no errors"
"2026-08-20","passed","LOG-1197","MFA step","High","","no errors"
"2026-08-21","passed","LOG-1198","Email step","Medium","","under 300ms"
"2026-08-21","passed","LOG-1199","Email step","Critical","","no errors"
"2026-08-21","passed","LOG-1200","Password step","Low","","under 300ms"
"2026-08-21","passed","LOG-1201","SSO redirect","Critical","","no errors"
"2026-08-21","passed","LOG-1202","MFA step","Medium","","no errors"
"2026-08-21","passed","LOG-1203","Password step","Low","","under 300ms"
"2026-08-21","passed","LOG-1204","Email step","Critical","","under 300ms"
"2026-08-22","failed","LOG-1205","Password step","High","","timeout"
"2026-08-22","passed","LOG-1206","MFA step","Low","","clean run"
"2026-08-22","passed","LOG-1207","MFA step","Critical","","no errors"
"2026-08-23","passed","LOG-1208","Password step","Medium","","clean run"
"2026-08-23","passed","LOG-1209","Password step","Low","","clean run"
"2026-08-23","passed","LOG-1210","SSO redirect","Low","","under 300ms"
"2026-08-24","passed","LOG-1211","Password step","Low","","clean run"
"2026-08-24","passed","LOG-1212","SSO redirect","High","","matched baseline"
"2026-08-24","passed","LOG-1213","SSO redirect","Critical","","clean run"
"2026-08-24","passed","LOG-1214","MFA step","Low","","clean run"
"2026-08-24","passed","LOG-1215","Password step","High","","matched baseline"
"2026-08-24","passed","LOG-1216","Password step","Medium","","under 300ms"
"2026-08-24","passed","LOG-1217","Password step","Critical","","no errors"
"2026-08-25","passed","LOG-1218","SSO redirect","Medium","","clean run"
"2026-08-25","failed","LOG-1219","Password step","Medium","","timeout"
"2026-08-25","passed","LOG-1220","Password step","Critical","","matched baseline"
"2026-08-25","passed","LOG-1221","SSO redirect","Critical","","no errors"
"2026-08-25","passed","LOG-1222","SSO redirect","Medium","","clean run"
"2026-08-25","passed","LOG-1223","MFA step","Critical","","under 300ms"
"2026-08-25","passed","LOG-1224","Password step","Medium","","no errors"
"2026-08-25","passed","LOG-1225","MFA step","Low","","under 300ms"
"2026-08-26","passed","LOG-1226","SSO redirect","Medium","","under 300ms"
"2026-08-26","passed","LOG-1227","Password step","Low","","matched baseline"
"2026-08-26","passed","LOG-1228","Email step","High","","under 300ms"
"2026-08-26","passed","LOG-1229","Password step","Critical","","clean run"
"2026-08-26","passed","LOG-1230","Password step","Medium","","no errors"
"2026-08-26","passed","LOG-1231","Email step","Low","","no errors"
"2026-08-26","passed","LOG-1232","SSO redirect","Critical","","clean run"
"2026-08-26","passed","LOG-1233","MFA step","Low","","no errors"
"2026-08-26","passed","LOG-1234","MFA step","High","","under 300ms"
"2026-08-27","passed","LOG-1235","MFA step","Low","","under 300ms"
"2026-08-27","passed","LOG-1236","MFA step","Critical","","matched baseline"
"2026-08-27","passed","LOG-1237","Password step","High","","under 300ms"
"2026-08-27","passed","LOG-1238","Password step","Critical","","matched baseline"
"2026-08-27","passed","LOG-1239","Email step","Medium","","under 300ms"
"2026-08-27","passed","LOG-1240","MFA step","Critical","","under 300ms"
"2026-08-27","passed","LOG-1241","SSO redirect","Low","","under 300ms"
"2026-08-27","passed","LOG-1242","MFA step","Medium","","no errors"
"2026-08-27","passed","LOG-1243","MFA step","Low","","matched baseline"
"2026-08-27","passed","LOG-1244","Password step","Low","","clean run"
"2026-08-27","passed","LOG-1245","Password step","High","","no errors"
"2026-08-28","passed","LOG-1246","SSO redirect","Critical","","matched baseline"
"2026-08-28","passed","LOG-1247","Password step","High","","matched baseline"
"2026-08-28","passed","LOG-1248","Email step","High","","under 300ms"
"2026-08-28","passed","LOG-1249","SSO redirect","Critical","","matched baseline"
"2026-08-28","ignored","LOG-1250","MFA step","Medium","","known flake"
"2026-08-28","passed","LOG-1251","MFA step","High","","no errors"
"2026-08-28","passed","LOG-1252","Email step","Critical","","matched baseline"
"2026-08-29","ignored","LOG-1253","SSO redirect","Critical","","feature flag off"
"2026-08-29","passed","LOG-1254","MFA step","High","","matched baseline"
"2026-08-29","failed","LOG-1255","MFA step","High","QA-1394","timeout"
"2026-08-29","passed","LOG-1256","Email step","Medium","","no errors"
"2026-08-30","failed","LOG-1257","SSO redirect","High","QA-1472","assertion failed"
"2026-08-30","passed","LOG-1258","Password step","Critical","","clean run"
"2026-08-30","passed","LOG-1259","SSO redirect","Low","","no errors"
"2026-08-30","passed","LOG-1260","SSO redirect","High","","no errors"
"2026-08-31","passed","LOG-1261","SSO redirect","Medium","","matched baseline"
"2026-08-31","passed","LOG-1262","Email step","Low","","no errors"
"2026-08-31","failed","LOG-1263","SSO redirect","High","QA-1943","500 from api"
"2026-08-31","passed","LOG-1264","Email step","Critical","","under 300ms"
"2026-08-31","passed","LOG-1265","Password step","Critical","","no errors"
"2026-08-31","passed","LOG-1266","MFA step","Low","","no errors"
"2026-08-31","passed","LOG-1267","MFA step","Low","","matched baseline"
"2026-09-01","passed","LOG-1268","Email step","Low","","clean run"
"2026-09-01","passed","LOG-1269","Email step","Low","","no errors"
"2026-09-01","passed","LOG-1270","Password step","Low","","no errors"
"2026-09-01","passed","LOG-1271","SSO redirect","Medium","","under 300ms"
"2026-09-01","failed","LOG-1272","Email step","High","","500 from api"
"2026-09-01","passed","LOG-1273","SSO redirect","Low","","matched baseline"
"2026-09-01","passed","LOG-1274","SSO redirect","Critical","","clean run"
"2026-09-01","passed","LOG-1275","SSO redirect","Critical","","under 300ms"
"2026-09-01","ignored","LOG-1276","MFA step","Low","","known flake"
"2026-09-02","passed","LOG-1277","Password step","Critical","","matched baseline"
"2026-09-02","passed","LOG-1278","Password step","Critical","","under 300ms"
"2026-09-02","passed","LOG-1279","SSO redirect","Low","","matched baseline"
"2026-09-02","passed","LOG-1280","Password step","Critical","","matched baseline"
"2026-09-02","passed","LOG-1281","Email step","Critical","","matched baseline"
"2026-09-02","passed","LOG-1282","Password step","Critical","","matched baseline"
"2026-09-02","passed","LOG-1283","MFA step","Low","","clean run"
"2026-09-02","passed","LOG-1284","Email step","High","","clean run"
"2026-09-02","passed","LOG-1285","Email step","Low","","clean run"
"2026-09-02","passed","LOG-1286","Email step","High","","under 300ms"
"2026-09-03","ignored","LOG-1287","SSO redirect","Low","","known flake"
"2026-09-03","passed","LOG-1288","Password step","High","","under 300ms"
"2026-09-03","passed","LOG-1289","Email step","Low","","matched baseline"
"2026-09-03","passed","LOG-1290","MFA step","Low","","clean run"
"2026-09-03","passed","LOG-1291","Email step","Medium","","no errors"
"2026-09-03","passed","LOG-1292","MFA step","Low","","clean run"
"2026-09-03","failed","LOG-1293","MFA step","High","","assertion failed"
"2026-09-04","passed","LOG-1294","Password step","Low","","under 300ms"
"2026-09-04","passed","LOG-1295","SSO redirect","Medium","","clean run"
"2026-09-04","failed","LOG-1296","Password step","Medium","QA-1631","assertion failed"
"2026-09-04","passed","LOG-1297","Password step","Critical","","clean run"
"2026-09-04","passed","LOG-1298","MFA step","Low","","clean run"
"2026-09-04","failed","LOG-1299","Password step","Critical","","assertion failed"
"2026-09-04","passed","LOG-1300","SSO redirect","Critical","","matched baseline"
"2026-09-04","passed","LOG-1301","Email step","Critical","","no errors"
"2026-09-04","passed","LOG-1302","Email step","High","","matched baseline"
"2026-09-04","passed","LOG-1303","Email step","Low","","no errors"
"2026-09-05","passed","LOG-1304","Password step","Critical","","clean run"
"2026-09-05","passed","LOG-1305","MFA step","Medium","","clean run"
"2026-09-05","passed","LOG-1306","SSO redirect","Low","","clean run"
"2026-09-05","ignored","LOG-1307","SSO redirect","Medium","","known flake"
"2026-09-06","passed","LOG-1308","Password step","Low","","matched baseline"
"2026-09-06","failed","LOG-1309","Password step","High","QA-1945","layout shift"
"2026-09-06","failed","LOG-1310","SSO redirect","High","QA-1362","timeout"
"2026-09-06","passed","LOG-1311","SSO redirect","High","","no errors"
"2026-09-07","passed","LOG-1312","MFA step","High","","matched baseline"
"2026-09-07","passed","LOG-1313","MFA step","Medium","","matched baseline"
"2026-09-07","passed","LOG-1314","SSO redirect","High","","clean run"
"2026-09-07","failed","LOG-1315","MFA step","Critical","","500 from api"
"2026-09-07","passed","LOG-1316","Password step","Critical","","clean run"
"2026-09-07","passed","LOG-1317","Password step","Critical","","under 300ms"
"2026-09-07","passed","LOG-1318","Password step","Critical","","clean run"
"2026-09-07","passed","LOG-1319","MFA step","High","","no errors"
"2026-09-07","passed","LOG-1320","Email step","Medium","","no errors"
"2026-09-07","passed","LOG-1321","MFA step","Low","","clean run"
"2026-09-08","passed","LOG-1322","MFA step","Low","","clean run"
"2026-09-08","failed","LOG-1323","Email step","Medium","","500 from api"
"2026-09-08","passed","LOG-1324","Password step","Low","","matched baseline"
"2026-09-08","passed","LOG-1325","SSO redirect","High","","clean run"
"2026-09-08","passed","LOG-1326","Email step","Critical","","clean run"
"2026-09-08","passed","LOG-1327","Email step","Low","","no errors"
"2026-09-08","passed","LOG-1328","SSO redirect","High","","no errors"
"2026-09-09","passed","LOG-1329","SSO redirect","Critical","","clean run"
"2026-09-09","passed","LOG-1330","Email step","Medium","","no errors"
"2026-09-09","passed","LOG-1331","SSO redirect","Critical","","clean run"
"2026-09-09","passed","LOG-1332","Password step","Medium","","clean run"
"2026-09-09","passed","LOG-1333","SSO redirect","Low","","matched baseline"
"2026-09-09","passed","LOG-1334","MFA step","Medium","","matched baseline"
"2026-09-09","passed","LOG-1335","SSO redirect","Low","","under 300ms"
"2026-09-09","passed","LOG-1336","Email step","Critical","","matched baseline"
"2026-09-09","passed","LOG-1337","Password step","Critical","","clean run"
"2026-09-09","passed","LOG-1338","Password step","Medium","","matched baseline"
