"LAST_RUN","MATCH_RESULT","id","category","severity","jira","note"
"2026-08-03","passed","PAY-1053","Receipt email","High","","clean run"
"2026-08-03","passed","PAY-1054","Receipt email","Low","","under 300ms"
"2026-08-03","passed","PAY-1055","Receipt email","Low","","matched baseline"
"2026-08-03","passed","PAY-1056","Receipt email","Medium","","under 300ms"
"2026-08-03","failed","PAY-1057","3DS challenge","Critical","","timeout"
"2026-08-04","passed","PAY-1058","3DS challenge","Medium","","clean run"
"2026-08-04","passed","PAY-1059","Refund","High","","clean run"
"2026-08-04","passed","PAY-1060","3DS challenge","Medium","","clean run"
"2026-08-04","failed","PAY-1061","Receipt email","Medium","","assertion failed"
"2026-08-04","passed","PAY-1062","Refund","Low","","under 300ms"
"2026-08-05","failed","PAY-1063","Card form","High","QA-1256","layout shift"
"2026-08-05","passed","PAY-1064","Refund","Critical","","matched baseline"
"2026-08-05","failed","PAY-1065","Refund","High","","timeout"
"2026-08-05","passed","PAY-1066","Card form","Critical","","clean run"
"2026-08-05","passed","PAY-1067","Receipt email","Critical","","under 300ms"
"2026-08-05","passed","PAY-1068","Receipt email","Medium","","clean run"
"2026-08-05","passed","PAY-1069","Card form","Critical","","clean run"
"2026-08-06","passed","PAY-1070","Refund","Medium","","under 300ms"
"2026-08-06","passed","PAY-1071","3DS challenge","High","","matched baseline"
"2026-08-06","passed","PAY-1072","3DS challenge","Medium","","no errors"
"2026-08-06","passed","PAY-1073","Receipt email","Medium","","no errors"
"2026-08-06","passed","PAY-1074","3DS challenge","Medium","","under 300ms"
"2026-08-06","passed","PAY-1075","Receipt email","Low","","under 300ms"
"2026-08-06","passed","PAY-1076","3DS challenge","High","","under 300ms"
"2026-08-06","passed","PAY-1077","Receipt email","Medium","","clean run"
"2026-08-06","failed","PAY-1078","Card form","High","","layout shift"
"2026-08-07","passed","PAY-1079","Refund","Critical","","under 300ms"
"2026-08-07","failed","PAY-1080","3DS challenge","Critical","","layout shift"
"2026-08-07","passed","PAY-1081","3DS challenge","Critical","","clean run"
"2026-08-07","passed","PAY-1082","Refund","Critical","","under 300ms"
"2026-08-07","passed","PAY-1083","Receipt email","High","","no errors"
"2026-08-07","passed","PAY-1084","Receipt email","High","","under 300ms"
"2026-08-07","passed","PAY-1085","Refund","High","","no errors"
"2026-08-08","passed","PAY-1086","Card form","Critical","","matched baseline"
"2026-08-08","passed","PAY-1087","Refund","High","","no errors"
"2026-08-08","passed","PAY-1088","3DS challenge","Critical","","clean run"
"2026-08-09","passed","PAY-1089","Refund","Low","","no errors"
"2026-08-09","failed","PAY-1090","Receipt email","Medium","","timeout"
"2026-08-09","passed","PAY-1091","Card form","Critical","","matched baseline"
"2026-08-10","passed","PAY-1092","Refund","Low","","matched baseline"
"2026-08-10","passed","PAY-1093","Refund","Critical","","under 300ms"
"2026-08-10","passed","PAY-1094","3DS challenge","Low","","matched baseline"
"2026-08-10","passed","PAY-1095","Card form","Medium","","no errors"
"2026-08-10","passed","PAY-1096","3DS challenge","Critical","","under 300ms"
"2026-08-10","passed","PAY-1097","Card form","Medium","","no errors"
"2026-08-11","passed","PAY-1098","Receipt email","Critical","","no errors"
"2026-08-11","passed","PAY-1099","Card form","High","","no errors"
"2026-08-11","passed","PAY-1100","3DS challenge","High","","matched baseline"
"2026-08-11","passed","PAY-1101","Receipt email","High","","matched baseline"
"2026-08-11","passed","PAY-1102","Card form","High","","clean run"
"2026-08-11","passed","PAY-1103","Receipt email","High","","no errors"
"2026-08-11","passed","PAY-1104","3DS challenge","Low","","no errors"
"2026-08-12","failed","PAY-1105","Refund","Medium","","500 from api"
"2026-08-12","passed","PAY-1106","Card form","Critical","","matched baseline"
"2026-08-12","passed","PAY-1107","Receipt email","Medium","","matched baseline"
"2026-08-12","failed","PAY-1108","3DS challenge","Critical","QA-1987","layout shift"
"2026-08-12","passed","PAY-1109","3DS challenge","Medium","","matched baseline"
"2026-08-12","passed","PAY-1110","Card form","Medium","","under 300ms"
"2026-08-12","passed","PAY-1111","Card form","Medium","","under 300ms"
"2026-08-12","passed","PAY-1112","Refund","High","","clean run"
"2026-08-12","passed","PAY-1113","Receipt email","Critical","","clean run"
"2026-08-13","passed","PAY-1114","3DS challenge","Critical","","matched baseline"
"2026-08-13","passed","PAY-1115","3DS challenge","Medium","","matched baseline"
"2026-08-13","passed","PAY-1116","Refund","Low","","matched baseline"
"2026-08-13","passed","PAY-1117","3DS challenge","Medium","","no errors"
"2026-08-13","passed","PAY-1118","Card form","High","","clean run"
"2026-08-13","passed","PAY-1119","Receipt email","Critical","","matched baseline"
"2026-08-13","failed","PAY-1120","Card form","High","QA-1322","assertion failed"
"2026-08-13","failed","PAY-1121","Receipt email","High","QA-1715","layout shift"
"2026-08-14","passed","PAY-1122","Card form","Critical","","under 300ms"
"2026-08-14","passed","PAY-1123","3DS challenge","High","","clean run"
"2026-08-14","passed","PAY-1124","Card form","Medium","","clean run"
"2026-08-14","passed","PAY-1125","Receipt email","High","","no errors"
"2026-08-14","passed","PAY-1126","Card form","Low","","no errors"
"2026-08-15","passed","PAY-1127","Receipt email","High","","clean run"
"2026-08-15","passed","PAY-1128","Card form","High","","under 300ms"
"2026-08-15","passed","PAY-1129","3DS challenge","Medium","","matched baseline"
"2026-08-16","passed","PAY-1130","Card form","Low","","matched baseline"
"2026-08-16","passed","PAY-1131","3DS challenge","Low","","clean run"
"2026-08-17","passed","PAY-1132","3DS challenge","Critical","","clean run"
"2026-08-17","passed","PAY-1133","Card form","Medium","","matched baseline"
"2026-08-17","passed","PAY-1134","Card form","Critical","","no errors"
"2026-08-17","passed","PAY-1135","Card form","Critical","","no errors"
"2026-08-17","failed","PAY-1136","Card form","Critical","QA-1200","timeout"
"2026-08-18","passed","PAY-1137","Refund","Critical","","no errors"
"2026-08-18","passed","PAY-1138","Card form","High","","no errors"
"2026-08-18","passed","PAY-1139","Receipt email","Low","","matched baseline"
"2026-08-18","passed","PAY-1140","3DS challenge","Low","","no errors"
"2026-08-18","passed","PAY-1141","Refund","Medium","","no errors"
"2026-08-18","passed","PAY-1142","Receipt email","High","","no errors"
"2026-08-18","passed","PAY-1143","Receipt email","Low","","no errors"
"2026-08-18","failed","PAY-1144","Refund","High","","timeout"
"2026-08-19","failed","PAY-1145","Receipt email","Medium","QA-1656","layout shift"
"2026-08-19","passed","PAY-1146","3DS challenge","Low","","no errors"
"2026-08-19","passed","PAY-1147","Receipt email","Medium","","under 300ms"
"2026-08-19","passed","PAY-1148","Receipt email","Low","","no errors"
"2026-08-19","passed","PAY-1149","3DS challenge","Critical","","matched baseline"
"2026-08-19","passed","PAY-1150","Card form","Critical","","clean run"
"2026-08-19","ignored","PAY-1151","3DS challenge","Medium","","muted for release"
"2026-08-19","failed","PAY-1152","Card form","High","QA-1881","500 from api"
"2026-08-20","passed","PAY-1153","Card form","Critical","","matched baseline"
"2026-08-20","passed","PAY-1154","3DS challenge","Medium","","no errors"
"2026-08-20","passed","PAY-1155","3DS challenge","Medium","","matched baseline"
"2026-08-20","passed","PAY-1156","Card form","Low","","matched baseline"
"2026-08-20","passed","PAY-1157","Receipt email","High","","under 300ms"
"2026-08-20","passed","PAY-1158","3DS challenge","Medium","","no errors"
"2026-08-20","passed","PAY-1159","Card form","High","","matched baseline"
"2026-08-21","passed","PAY-1160","Refund","High","","clean run"
"2026-08-21","passed","PAY-1161","3DS challenge","Low","","clean run"
"2026-08-21","passed","PAY-1162","Refund","Medium","","clean run"
"2026-08-21","passed","PAY-1163","Refund","Low","","no errors"
"2026-08-21","failed","PAY-1164","Card form","High","QA-1235","layout shift"
"2026-08-21","failed","PAY-1165","Receipt email","High","","assertion failed"
"2026-08-21","passed","PAY-1166","3DS challenge","Medium","","matched baseline"
"2026-08-21","passed","PAY-1167","Receipt email","Medium","","under 300ms"
"2026-08-22","passed","PAY-1168","Receipt email","Critical","","no errors"
"2026-08-22","passed","PAY-1169","Receipt email","High","","clean run"
"2026-08-22","passed","PAY-1170","Refund","High","","matched baseline"
"2026-08-23","passed","PAY-1171","Receipt email","Low","","no errors"
"2026-08-23","passed","PAY-1172","Refund","Medium","","clean run"
"2026-08-23","passed","PAY-1173","Card form","Low","","matched baseline"
"2026-08-24","passed","PAY-1174","Card form","Low","","no errors"
"2026-08-24","passed","PAY-1175","3DS challenge","Low","","matched baseline"
"2026-08-24","passed","PAY-1176","Refund","Medium","","no errors"
"2026-08-24","passed","PAY-1177","3DS challenge","High","","under 300ms"
"2026-08-24","passed","PAY-1178","Refund","Critical","","clean run"
"2026-08-24","passed","PAY-1179","3DS challenge","Critical","","clean run"
"2026-08-25","passed","PAY-1180","Receipt email","Medium","","no errors"
"2026-08-25","passed","PAY-1181","Refund","Low","","clean run"
"2026-08-25","passed","PAY-1182","Card form","Critical","","matched baseline"
"2026-08-25","passed","PAY-1183","Receipt email","High","","no errors"
"2026-08-25","passed","PAY-1184","Receipt email","Critical","","matched baseline"
"2026-08-25","ignored","PAY-1185","3DS challenge","Medium","","feature flag off"
"2026-08-26","passed","PAY-1186","Receipt email","High","","under 300ms"
"2026-08-26","passed","PAY-1187","3DS challenge","High","","matched baseline"
"2026-08-26","passed","PAY-1188","Card form","High","","clean run"
"2026-08-26","passed","PAY-1189","Card form","Low","","matched baseline"
"2026-08-26","passed","PAY-1190","Receipt email","High","","no errors"
"2026-08-26","ignored","PAY-1191","Card form","High","","muted for release"
"2026-08-26","passed","PAY-1192","Card form","Critical","","matched baseline"
"2026-08-27","failed","PAY-1193","Refund","Medium","QA-1957","layout shift"
"2026-08-27","passed","PAY-1194","Receipt email","Low","","no errors"
"2026-08-27","passed","PAY-1195","Receipt email","Critical","","clean run"
"2026-08-27","passed","PAY-1196","Card form","Critical","","matched baseline"
"2026-08-27","passed","PAY-1197","3DS challenge","High","","matched baseline"
"2026-08-27","passed","PAY-1198","Receipt email","Medium","","clean run"
"2026-08-27","passed","PAY-1199","Receipt email","Critical","","no errors"
"2026-08-28","ignored","PAY-1200","Card form","Critical","","known flake"
"2026-08-28","passed","PAY-1201","3DS challenge","Critical","","no errors"
"2026-08-28","passed","PAY-1202","Refund","Low","","clean run"
"2026-08-28","passed","PAY-1203","3DS challenge","Critical","","clean run"
"2026-08-28","failed","PAY-1204","Card form","High","QA-1270","assertion failed"
"2026-08-28","passed","PAY-1205","Refund","High","","no errors"
"2026-08-28","passed","PAY-1206","Card form","Medium","","clean run"
"2026-08-28","passed","PAY-1207","Receipt email","High","","no errors"
"2026-08-29","failed","PAY-1208","3DS challenge","High","QA-1926","assertion failed"
"2026-08-29","passed","PAY-1209","Refund","High","","clean run"
"2026-08-29","passed","PAY-1210","Card form","Critical","","matched baseline"
"2026-08-30","passed","PAY-1211","3DS challenge","Low","","clean run"
"2026-08-30","passed","PAY-1212","3DS challenge","High","","under 300ms"
"2026-08-30","failed","PAY-1213","Receipt email","High","","layout shift"
"2026-08-31","passed","PAY-1214","Card form","Low","","clean run"
"2026-08-31","failed","PAY-1215","3DS challenge","Medium","QA-1752","500 from api"
"2026-08-31","passed","PAY-1216","3DS challenge","Critical","","matched baseline"
"2026-08-31","passed","PAY-1217","3DS challenge","High","","clean run"
"2026-08-31","passed","PAY-1218","Card form","High","","matched baseline"
"2026-09-01","passed","PAY-1219","Receipt email","Low","","matched baseline"
"2026-09-01","passed","PAY-1220","Card form","High","","matched baseline"
"2026-09-01","passed","PAY-1221","Card form","Medium","","clean run"
"2026-09-01","passed","PAY-1222","Refund","Low","","no errors"
"2026-09-01","passed","PAY-1223","Refund","Low","","no errors"
"2026-09-01","passed","PAY-1224","Refund","Low","","under 300ms"
"2026-09-01","passed","PAY-1225","Refund","Critical","","matched baseline"
"2026-09-01","passed","PAY-1226","Refund","High","","clean run"
"2026-09-02","passed","PAY-1227","Receipt email","Medium","","clean run"
"2026-09-02","passed","PAY-1228","Card form","Critical","","under 300ms"
"2026-09-02","failed","PAY-1229","Refund","High","","timeout"
"2026-09-02","passed","PAY-1230","3DS challenge","Low","","clean run"
"2026-09-02","passed","PAY-1231","Receipt email","Low","","clean run"
"2026-09-02","passed","PAY-1232","Refund","Medium","","under 300ms"
"2026-09-02","passed","PAY-1233","Refund","High","","matched baseline"
"2026-09-02","passed","PAY-1234","Card form","High","","no errors"
"2026-09-03","passed","PAY-1235","3DS challenge","Medium","","under 300ms"
"2026-09-03","passed","PAY-1236","Refund","Low","","matched baseline"
"2026-09-03","passed","PAY-1237","Receipt email","Medium","","clean run"
"2026-09-03","passed","PAY-1238","Card form","Low","","no errors"
"2026-09-03","passed","PAY-1239","Refund","Low","","clean run"
"2026-09-03","passed","PAY-1240","3DS challenge","Critical","","under 300ms"
"2026-09-03","passed","PAY-1241","3DS challenge","High","","under 300ms"
"2026-09-04","passed","PAY-1242","3DS challenge","Low","","clean run"
"2026-09-04","passed","PAY-1243","3DS challenge","Medium","","under 300ms"
"2026-09-04","passed","PAY-1244","Refund","Medium","","no errors"
"2026-09-04","passed","PAY-1245","Refund","High","","matched baseline"
"2026-09-04","passed","PAY-1246","Card form","High","","no errors"
"2026-09-04","passed","PAY-1247","3DS challenge","High","","clean run"
"2026-09-05","passed","PAY-1248","Card form","Low","","no errors"
"2026-09-05","passed","PAY-1249","3DS challenge","High","","clean run"
"2026-09-05","passed","PAY-1250","3DS challenge","High","","matched baseline"
"2026-09-06","passed","PAY-1251","3DS challenge","Low","","under 300ms"
"2026-09-06","passed","PAY-1252","Receipt email","Low","","no errors"
"2026-09-06","passed","PAY-1253","Refund","Low","","under 300ms"
"2026-09-07","ignored","PAY-1254","Receipt email","High","","muted for release"
"2026-09-07","passed","PAY-1255","Refund","Low","","under 300ms"
"2026-09-07","passed","PAY-1256","Card form","Medium","","matched baseline"
"2026-09-07","passed","PAY-1257","Receipt email","Medium","","clean run"
"2026-09-07","passed","PAY-1258","3DS challenge","Low","","under 300ms"
"2026-09-08","passed","PAY-1259","Card form","High","","clean run"
"2026-09-08","passed","PAY-1260","3DS challenge","High","","no errors"
"2026-09-08","passed","PAY-1261","3DS challenge","Critical","","clean run"
"2026-09-08","passed","PAY-1262","3DS challenge","Low","","under 300ms"
"2026-09-08","passed","PAY-1263","Card form","Medium","","clean run"
"2026-09-09","passed","PAY-1264","Refund","Medium","","clean run"
"2026-09-09","failed","PAY-1265","Refund","Medium","","500 from api"
"2026-09-09","passed","PAY-1266","Refund","Medium","","no errors"
"2026-09-09","passed","PAY-1267","Receipt email","Critical","","matched baseline"
"2026-09-09","passed","PAY-1268","3DS challenge","High","","no errors"
"2026-09-09","passed","PAY-1269","Refund","High","","matched baseline"
"2026-09-09","passed","PAY-1270","Refund","Critical","","no errors"
"2026-09-09","passed","PAY-1271","Receipt email","Low","","no errors"
"2026-09-09","passed","PAY-1272","Refund","Low","","clean run"
